1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
B감자죽,B고구마쉐이크,B복숭아(백도)-60g,S사과(50g),S멜론(75g),새우튀김우동,버섯개장,채소옥수수튀김,돌나물흑임자샐러드,비트초절이,S영양주먹밥,S보리차,잡곡밥(75),대구지리,수제비샐러드,무미역생채,배추김치
B양파치즈죽,B고구마쉐이크,B복숭아(천도)-60g,S토마토(200g),S멜론(75g),팥밥(75),두부젓국찌개,닭가슴살고구마볶음,건새우애호박볶음,총각김치,S크림소스스파게티,S둥글레차,김치햄볶음밥,늙은호박국,두부채소전,당근스틱,나박김치
B소고기옥수수죽,B바나나쉐이크,B멜론(50g),S단감(50g),S오렌지(100g),밤밥(75),늙은호박국,도라지오징어채무침,건취나물간장볶음,총각김치,S토마토스파게티,S오미자아이스크림,밤밥(75),대합국,(저당)닭갈비,맛살볶음,총각김치
B당근치즈죽,B검은콩두유(200ml),B멜론(50g),S파인애플(50g),S단감(50g),잡곡밥(75),유부대파국,미역귀튀각,머위나물,깍두기,S온도토리묵국,S고구마쉐이크,잡곡밥(75),떡만두국,가자미구이,봄동된장나물,깍두기
B소고기미역죽,B우유(100ml),B당근스틱,S귤(80g),S복숭아(80g),삼색소보로덮밥,두부맑은국,훈제오리무침,(우유제외)감자버터구이,배추김치,S크림소스스파게티,S보리차,팥밥(75),냉콩나물국,닭다리살소스조림,건새우애호박볶음,배추김치
B백설기(80g),B우유(100ml),B복숭아(황도)-80g,S파인애플(50g),S멜론(50g),크림소스스파게티,오징어찌개,매콤주꾸미볶음,브로콜리참깨무침,오이소박이김치,S채소전,S매실쥬스,찹쌀보리밥(75),애호박두부젓국,소고기청경채볶음,아욱나물무침,오이소박이김치
B수제비,B수제바나나우유,B멜론(50g),S단감(50g),S사과(50g),잡곡밥(75),맑은장국,닭다리살소스조림,건새우애호박볶음,배추김치,S크림떡볶이,S둥글레차,삼색소보로덮밥,실파장국,닭고기냉채,베이컨감자볶음,배추김치
B찐고구마,B수제바나나우유,B사과(35g),S참외(100g),S귤(50g),감자밥(75),김국,삼겹살구이,얼갈이무침,배추김치,S영양주먹밥,S보리차,삼색소보로덮밥,근대국,사각어묵볶음,물미역무초무침,배추김치
B아몬드사과도넛,B바나나쉐이크,B멜론(50g),S참외(100g),S단감(50g),흑미밥(75),맑은장국,떡갈비간장조림,(우유제외)옥수수버터구이,깻잎김치,S채소전,S두유(100ml),흑미밥(75),아욱토장국,가지구이,건새우애호박볶음,총각김치
B소고기미역죽,B(우유제외)수제블루베리우유,B복숭아(황도)-80g,S당근스틱,S단감(50g),옥수수밥(75),팽이장국,연근햄버거스테이크,소고기양배추조림,배추김치,S크림소스스파게티,S둥글레차,옥수수밥(75),다진소고기콩나물국,당근새우짜장볶음,(우유제외)옥수수버터구이,배추김치
