Unnamed: 0,breakfast1,breakfast2,breakfast3,snack1,snack2,snack3,snack4,rice,special,soup,kimchi,special_soup_needed,special_soup_notneeded,vegitable_soup,nonvegitable_soup,possible_with_special,morning_soup_comb1,morning_soup_comb2,morning_soup_comb3,side_dish1,side_dish2,empty,0_x,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,11_x,12_x,13_x,14_x,15_x,16_x,17_x,18_x,19_x,20_x,21_x,22_x,23_x,24_x,25_x,26_x,27_x,28_x,29_x,30_x,31_x,0_y,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,11_y,12_y,13_y,14_y,15_y,16_y,17_y,18_y,19_y,20_y,21_y,22_y,23_y,24_y,25_y,26_y,27_y,28_y,29_y,30_y,31_y
°í±¸¸¶Â¥Àå¹ä,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9108057,1.6189579,0.0,0.0,0.0,0.0,0.0,11.336943,0.0,11.822813,0.0,4.7751474,10.389985,0.0,12.316824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65777636,4.9787154,0.0
¸ÞÃß¸®¾ËÃ¤¼ÒÆøÂý,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.729637,0.0,12.585787,5.2853284,0.0,3.9066198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.671508,0.0,0.0,0.0,0.0,0.0,3.9341931,0.0,0.0,0.0,0.0,0.0,0.0
Bºê·ÎÄÝ¸®¼Ò°í±âÁ×,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02204965,0.0,0.0,0.0,1.8714856,0.31812778,0.0,0.0,0.0,0.0,0.0,0.57614493,0.0,0.21085697,0.0,2.1663952,1.2780514,1.6007042,4.548306,1.2317246,0.0,0.3204465,0.0,0.49835297,0.0,0.0,0.0,0.0,0.0,0.9533034,0.0
B´ß°¡½¿»ì¿Á¼ö¼öÁ×,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06243,0.0,0.0,0.0,6.5930586,0.0,0.0,0.0,0.0,0.0,0.0,4.2873425,0.0,5.7420754,0.0,3.3482184,3.1423235,0.0,5.028494,0.0,0.0,2.1448495,0.0,0.0,0.0,0.0,0.0,0.0,1.2344586,7.1888423,0.0
S¾¾¸®¾ó,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.705679,0.0,0.0,0.0,0.0,0.0,0.0,41.62534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5096617,0.0,26.353476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
µ¿ÅÂ»ì¹«±¹,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.4438880681991577,-0.503210186958313,-2.2986602783203125,-0.06441584974527359,-1.0394172668457031,0.8680221438407898,2.537931203842163,-3.3896524906158447,-2.1635243892669678,0.0988055169582367,-0.5111832022666931,-2.8044703006744385,-1.4572874307632446,2.8736610412597656,-2.3309357166290283,-1.6327790021896362,-1.7915962934494019,-0.6429031491279602,0.14614365994930267,0.5535527467727661,1.490058183670044,-0.8704948425292969,1.6102384328842163,-0.00838394183665514,-0.7733205556869507,-1.7011593580245972,0.3335703909397125,-2.100884437561035,2.73311710357666,0.7629556655883789,0.034868478775024414,-2.867124319076538,0.0,9.214875,0.0,0.0,0.0,0.0,6.6341243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6592906,0.0,0.0,0.0,0.0,0.0,0.0,10.896069,0.0,0.0,0.0,14.436182,0.0,0.0,0.0
¾î¹¬ÆÄÇÁ¸®Ä«ººÀ½,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0932255,0.0,1.7390233,0.80652094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7065094,3.6880414,0.0,0.0,1.268508,0.0,0.0,0.0,1.9271113,1.2946857,0.0,0.0,0.0,0.038430214,1.2226032,2.9789116
¿ì°ÅÁöµÈÀå±¹,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.717627,0.0,0.0,0.0,0.0,11.5107155,0.0,0.0,0.0,9.85122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.501682,0.0,3.154553,0.0,0.0,0.0,2.996025,0.0,0.0,0.0
»õ¼ÛÀÌ¹ö¼¸Ä«·¹¶óÀÌ½º,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5196342,0.5925766,0.0,0.0,0.0,0.0,0.0,8.956901,0.0,0.38025725,0.0,3.590833,0.0,0.0,1.974493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.088426,0.0
ÆÄÀÎ¾ÖÇÃººÀ½¹ä,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95546645,0.0,0.0,1.1136206,3.5279417,0.2796841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.645012,0.0,5.340828,4.642333,0.0,5.2108955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ãë³ª¹°ººÀ½,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111119,0.0,0.0,5.3678846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.290434,0.0,4.5075107,0.0,6.7470694,0.0,0.002136469,0.42226177,0.0,0.0,0.0,0.0,0.0,0.0
BÄ¡Áî,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7364269,0.0,0.21683812,0.0,1.5873346,0.7123275,0.0,0.0,0.0,1.6993165,0.0,0.022369385,0.0,0.0,0.15211451,1.1859128,0.0,0.17009662,2.3732738,0.6696892,0.0,1.2857288,0.0,2.5991359,0.6884258,0.0,0.0,0.0,0.0,0.2712422,0.0
